,SERIALNO,PUMA,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BATH,BDSP,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT
3,2012000000658,300,1045360,1056030,10,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,130.0,2.0,650.0,3.0,4.0,1200.0,,1.0,1700.0,1.0,1.0,1.0,7.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,235000.0,2.0,320.0,4.0,1.0,85900.0,4.0,,,1.0,1.0,85900.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1911.0,3.0,0.0,1.0,47.0,2.0,1.0,1.0
4,2012000001192,101,1045360,1056030,23,2,1,1.0,,1.0,3.0,2.0,2.0,0.0,70.0,2.0,2.0,210.0,1.0,850.0,,,,,3.0,1.0,9.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,250000.0,3.0,400.0,1.0,3.0,126000.0,4.0,,,1.0,1.0,126000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,626.0,,0.0,1.0,41.0,1.0,7.0,7.0
5,2012000001474,201,1045360,1056030,19,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,180.0,2.0,1200.0,200.0,4.0,700.0,,1.0,1200.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,1400.0,1.0,1.0,1.0,1.0,,200000.0,2.0,40.0,8.0,4.0,43200.0,4.0,,,1.0,1.0,43200.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,86.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,3083.0,1.0,0.0,1.0,41.0,0.0,9.0,9.0
17,2012000003851,300,1045360,1056030,16,3,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,170.0,2.0,1800.0,3.0,4.0,600.0,,1.0,1400.0,1.0,1.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,200000.0,3.0,2.0,6.0,4.0,119100.0,4.0,,,1.0,1.0,119100.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1720.0,3.0,0.0,1.0,50.0,1.0,9.0,9.0
19,2012000004240,400,1045360,1056030,12,3,1,1.0,,1.0,3.0,2.0,2.0,0.0,50.0,2.0,2.0,100.0,1.0,700.0,,2.0,2100.0,2.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,400000.0,1.0,50.0,2.0,2.0,314500.0,1.0,,,4.0,1.0,314500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2729.0,3.0,0.0,1.0,62.0,1.0,7.0,3.0
21,2012000005040,102,1045360,1056030,14,2,1,1.0,,1.0,2.0,2.0,2.0,,70.0,2.0,2.0,80.0,1.0,,,,,,,1.0,4.0,2.0,1100.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,2.0,1.0,7.0,8.0,19600.0,4.0,1250.0,77.0,1.0,3.0,19600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,1.0,0.0,,0.0,15.0,15.0
22,2012000005079,102,1045360,1056030,15,1,1,1.0,,1.0,3.0,2.0,2.0,0.0,50.0,2.0,2.0,120.0,1.0,900.0,,2.0,700.0,2.0,1.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,200000.0,1.0,200.0,1.0,,,,,,1.0,6.0,74000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1545.0,3.0,0.0,1.0,65.0,,,
23,2012000005221,104,1045360,1056030,21,2,1,1.0,,1.0,2.0,2.0,2.0,0.0,70.0,2.0,2.0,140.0,1.0,900.0,,,,,3.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,140000.0,1.0,400.0,3.0,4.0,50200.0,4.0,,,1.0,1.0,50200.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,485.0,,0.0,1.0,32.0,0.0,9.0,9.0
24,2012000005247,201,1045360,1056030,24,2,1,1.0,,1.0,1.0,2.0,2.0,0.0,250.0,2.0,3000.0,20.0,4.0,1500.0,,2.0,1500.0,2.0,1.0,1.0,4.0,,,1.0,9.0,1.0,830.0,1.0,1.0,1.0,1.0,,300000.0,4.0,50.0,5.0,1.0,71300.0,4.0,,,1.0,1.0,71300.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3396.0,2.0,0.0,1.0,62.0,2.0,2.0,1.0
26,2012000005362,300,1045360,1056030,23,2,1,1.0,,1.0,4.0,2.0,2.0,0.0,80.0,2.0,2400.0,200.0,1.0,2000.0,,1.0,1300.0,1.0,1.0,1.0,7.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,300000.0,2.0,360.0,1.0,1.0,126300.0,4.0,,,1.0,1.0,126300.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1810.0,3.0,0.0,1.0,52.0,2.0,4.0,1.0
